Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bolivia,3668568.0,3752892.0,3839751.0,3929192.0,4021551.0,4117259.0,4216572.0,4319564.0,4426012.0,4535500.0,4647442.0,4761344.0,4877275.0,4995172.0,5114274.0,5233624.0,5352649.0,5471025.0,5589245.0,5708585.0,5830816.0,5957291.0,6088253.0,6223523.0,6363470.0,6508417.0,6658462.0,6813834.0,6974168.0,7138204.0,7304230.0,7470925.0,7637622.0,7804333.0,7971237.0,8138802.0,8307248.0,8476709.0,8646659.0,8815911.0,8982917.0,9146655.0,9306660.0,9463497.0,9618466.0,9773441.0,9929849.0,10088108.0,10248042.0,10409761.0
Bosnia and Herzegovina,3357005.0,3396402.0,3432671.0,3466307.0,3498470.0,3530780.0,3564389.0,3599885.0,3636930.0,3674638.0,3711662.0,3747109.0,3780559.0,3812557.0,3844329.0,3877598.0,3913536.0,3949509.0,3984259.0,4021590.0,4066739.0,4121595.0,4194370.0,4279632.0,4349682.0,4367069.0,4308197.0,4157485.0,3931372.0,3677379.0,3462032.0,3332098.0,3305672.0,3365616.0,3480285.0,3601438.0,3693698.0,3748370.0,3775883.0,3782717.0,3781358.0,3781001.0,3781588.0,3779034.0,3774164.0,3767683.0,3760149.0,3752228.0,3744235.0,3735880.0
Botswana,579518.0,595697.0,612903.0,631226.0,650676.0,671247.0,692959.0,715745.0,739683.0,765101.0,792432.0,821942.0,853774.0,887716.0,923234.0,959584.0,996211.0,1032889.0,1069707.0,1106802.0,1144442.0,1182803.0,1221790.0,1261235.0,1301146.0,1341540.0,1382371.0,1423570.0,1464924.0,1506037.0,1546414.0,1585637.0,1623704.0,1660538.0,1695587.0,1728179.0,1757925.0,1784449.0,1808103.0,1830127.0,1852243.0,1875673.0,1900905.0,1927540.0,1954822.0,1981576.0,2006945.0,2030738.0,2053237.0,2074616.0
Brazil,82021855.0,84388983.0,86735163.0,89068235.0,91394916.0,93727990.0,96078304.0,98445131.0,100828667.0,103242395.0,105703409.0,108224080.0,110804816.0,113442106.0,116138507.0,118895875.0,121711864.0,124588432.0,127514673.0,130459023.0,133380123.0,136246764.0,139049440.0,141791325.0,144470377.0,147088677.0,149650206.0,152146887.0,154582103.0,156985824.0,159398558.0,161848162.0,164342524.0,166869168.0,169409713.0,171936271.0,174425387.0,176877135.0,179289227.0,181633074.0,183873377.0,185986964.0,187958211.0,189798070.0,191543237.0,193246610.0,194946470.0,196655014.0,198360943.0,200050487.0
British Virgin Islands,8621.0,8808.0,9007.0,9216.0,9426.0,9626.0,9810.0,9978.0,10134.0,10272.0,10389.0,10484.0,10552.0,10604.0,10671.0,10798.0,11013.0,11326.0,11727.0,12205.0,12743.0,13324.0,13951.0,14618.0,15290.0,15926.0,16491.0,16970.0,17371.0,17724.0,18070.0,18440.0,18844.0,19270.0,19702.0,20117.0,20499.0,20844.0,21156.0,21446.0,21721.0,21990.0,22253.0,22511.0,22762.0,23007.0,23245.0,23478.0,23705.0,23928.0
Brunei,95191.0,99536.0,104130.0,108968.0,114068.0,119440.0,125088.0,131010.0,137181.0,143548.0,150039.0,156595.0,163208.0,169865.0,176488.0,182986.0,189300.0,195394.0,201301.0,207122.0,213002.0,219050.0,225288.0,231700.0,238305.0,245112.0,252125.0,259357.0,266794.0,274371.0,282000.0,289614.0,297188.0,304726.0,312216.0,319654.0,327036.0,334348.0,341585.0,348771.0,355943.0,363123.0,370317.0,377513.0,384695.0,391837.0,398920.0,405938.0,412892.0,419772.0
Bulgaria,8140705.0,8204095.0,8265527.0,8324589.0,8381450.0,8436396.0,8489572.0,8541136.0,8590839.0,8637941.0,8681449.0,8720706.0,8754869.0,8784175.0,8810299.0,8835614.0,8861536.0,8888449.0,8914880.0,8938068.0,8954236.0,8960417.0,8956687.0,8943245.0,8917563.0,8876627.0,8818915.0,8743034.0,8651284.0,8550495.0,8449971.0,8356624.0,8273011.0,8198008.0,8130284.0,8067041.0,8006158.0,7947761.0,7892666.0,7840117.0,7789180.0,7739115.0,7689520.0,7640283.0,7591322.0,7542674.0,7494332.0,7446135.0,7397873.0,7349462.0
Burkina Faso,5195464.0,5284154.0,5378861.0,5479285.0,5584807.0,5694428.0,5807492.0,5923949.0,6044303.0,6169133.0,6299238.0,6435274.0,6577502.0,6726016.0,6881106.0,7043049.0,7212088.0,7388473.0,7572382.0,7763888.0,7963009.0,8169792.0,8384383.0,8606963.0,8837666.0,9076631.0,9323996.0,9580035.0,9844931.0,10118634.0,10401025.0,10692138.0,10992170.0,11301608.0,11621159.0,11951701.0,12294012.0,12648474.0,13015435.0,13395599.0,13789736.0,14198463.0,14622202.0,15061127.0,15515258.0,15984479.0,16468714.0,16967845.0,17481984.0,18011507.0
Burundi,3154474.0,3212864.0,3275465.0,3341476.0,3406650.0,3465190.0,3513499.0,3549864.0,3577187.0,3602204.0,3634284.0,3680401.0,3742452.0,3819115.0,3910124.0,4014190.0,4129997.0,4257303.0,4395560.0,4542467.0,4695065.0,4850597.0,5008201.0,5166403.0,5321108.0,5467413.0,5601720.0,5724030.0,5835071.0,5933293.0,6017127.0,6086751.0,6140258.0,6181493.0,6223515.0,6283662.0,6374347.0,6499653.0,6656071.0,6838764.0,7039534.0,7251424.0,7474363.0,7707781.0,7943385.0,8170853.0,8382849.0,8575172.0,8749387.0,8911183.0
Cambodia,5983575.0,6141404.0,6310320.0,6485769.0,6657435.0,6811663.0,6937996.0,7039481.0,7118136.0,7162333.0,7157572.0,7097800.0,6972559.0,6796368.0,6618684.0,6506208.0,6505693.0,6636869.0,6883519.0,7211815.0,7570081.0,7919802.0,8250479.0,8571130.0,8885701.0,9203893.0,9531928.0,9868226.0,10205755.0,10539239.0,10862069.0,11169233.0,11458858.0,11731187.0,11986128.0,12224414.0,12446949.0,12653684.0,12845222.0,13024171.0,13193961.0,13357574.0,13515884.0,13669857.0,13822644.0,13977903.0,14138255.0,14305183.0,14478320.0,14656016.0
Cameroon,5909450.0,6048706.0,6193834.0,6345309.0,6503500.0,6668834.0,6841763.0,7022124.0,7210272.0,7407756.0,7616558.0,7837926.0,8072879.0,8320635.0,8578425.0,8842355.0,9109727.0,9379109.0,9651552.0,9929831.0,10218016.0,10518855.0,10832919.0,11158600.0,11493770.0,11835344.0,12180819.0,12529904.0,12882506.0,13236573.0,13589699.0,13940337.0,14287475.0,14631908.0,14976200.0,15324051.0,15678269.0,16039737.0,16408085.0,16783366.0,17165267.0,17553589.0,17948395.0,18350022.0,18758778.0,19175028.0,19598889.0,20030362.0,20468943.0,20913595.0
Canada,19309343.0,19678005.0,20078135.0,20501867.0,20931716.0,21342600.0,21716855.0,22048431.0,22344104.0,22614673.0,22876657.0,23142272.0,23416090.0,23695198.0,23975639.0,24250641.0,24516277.0,24769849.0,25016047.0,25266950.0,25538860.0,25842588.0,26183106.0,26554540.0,26943398.0,27330298.0,27700854.0,28051725.0,28386162.0,28704519.0,29009032.0,29302092.0,29582222.0,29850242.0,30113972.0,30383823.0,30667365.0,30967236.0,31281727.0,31608562.0,31943605.0,32283413.0,32627978.0,32977334.0,33327954.0,33675448.0,34016593.0,34349561.0,34674708.0,34993747.0
